Описание события,Класс (тэг) события,Длительность события (в минутах)
Засахарить мандарины,Быт,50
Обделать стену звукоизоляционными панелями,"Быт, Работа",100
Слить ветки dev1 и dev2,"Работа, Образование",2
Устранивть конфликты веток,"Работа, Образование",30
Списаться с заводчиками Фродо,Быт,5
Снять яблоки со второй яблони,Быт,35
Сформировать тз для сайта зоопарка,Работа,60
Закрасить скол на стуле,"Быт, Работа",5
Татуировка,Красота,90
Редактирование татуировки,Красота,60
Сюрприз бабушке,"Встречи, Быт",120
Проверить пломбы на онгетушителях,"Быт, Работа",10
Простерилизовать инструменты,Работа,40
Проверить воду в автоклаве,Работа,2
Завакуумировать инструменты,Работа,60
Протереть пыть в операционной,Работа,20
Включить УФ-лампу (30 минут),"Работа, Быт",30
Оформить самозанятость,Документы ,10
Увольнение,Работа,30
Проверить расходники,Работа,40
Удаление зуба,Здоровье,60
Снятие швов,Здоровье,5
Снять защитный воротник,Здоровье,2
Начать оповаживать Рони,"Быт, Работа",25
Согласовать сервировку,"Работа, Быт",15
Заменить сахар на подсластитель,Быт,2
Пересадить смородину,"Быт, Работа",25
Съемки в останкино,"Работа, Развлечения",600
Грим,Красота,40
Визажист,Красота,60
Стилист,Красота,80
Развезти детей,Быт,45
Коваль для Джея,Быт,60
Отбить денник,Быт,20
Поменять трензель,Быт,10
Годовщина знакомства,Отношения,120
Концерт Noize Будапешт,"Развлечения, Путешествия",180
Поздравить Проценко с годовщиной,"Встречи, Развлечения",120
Позвонить дедушке,"Встречи, Быт",20
Прием психотерапевта,Здоровье,60
Забрать рецепт на таблетки,Здоровье,15
Дача,Быт,720
Налоговая,"Документы, Быт",40
Замена лобового,Быт,45
Пересматриваем skam,Развлечения,240
Занять онлайн очередь на визу,"Документы, Работа, Быт",10
Подготовка к алгоритмическому собесу,"Работа, Образование",180
День благодарения,"Встречи, Развлечения",240
Купить шлем и краги,Покупки,50
Купить сверчков эублефарам,Покупки,10
Обновить страховку,"Документы, Быт",15
Созвон по повышению,Работа,45
Экватор,"Встречи, Развлечения",180
Чек ап кошек,Здоровье,120
Обновить и оплатить антивирус,"Покупки, Быт",20
Обработать фотографии,"Работа, Быт, Хобби",100
Последний день подачи документов,Документы,2
Встреча выпускников,"Встречи, Развлечения",120
Субботник,"Быт, Работа",120
Консультация с финансистом,"Документы, Встречи, Быт",60
Ботанический сад,Развлечения,120
Лувр,Развлечения,140
Отдать ноутбук на чистку,Быт,20
Замена термопасты,Быт,60
Собрание жильцов,Встречи,40
Акция на семена (закупиться),Покупки,30
Отполировать зеркала,Быт,35
Заехать в автомойку,Быт,40
Перебрать собачью амуницию,Быт,20
Оспорить счета за горячую воду,"Документы, Быт",50
Серфинг,Спорт,120
Переприкрепиться к поликлинике,"Документы, Быт",15
Сон час,Быт,60
Сдать кровь на ферритин,Здоровье,30
Планетарий,Развлечения,90
Встреча с ректором,Встречи,30
Выбрать место отпуска,"Быт, Путешествия",50
Добавить pet-проекты на гитхаб,"Работа, Образование",30
Обновить срок аренды роутера,"Документы, Быт",15
Стрельба из лука,Спорт,60
Хакатон на плюсах,"Образование, Хобби",720
Проерка вич-статуса,Здоровье,20
Волонтерство на интенсиве,Развлечения,480
Проерка групповых проектов,Работа,300
Отчет по волонтерству,Документы,40
Созвон с руководителем стартапа,"Встречи, Работа",45
Новоселье,"Развлечения, Встречи",120
Нетворкинг в коворкинге сбера,"Развлечения, Встречи",180
Английский для IELTS,Образование,60
Тестовый собес,Работа,55
Представить проект тимлиду,Работа,100
